,FossilGas,APXPrice,Total_RENE,TSDF
2016010101,5199.0,31.1,7511.619,28400.0
2016010102,6530.0,31.1,7511.619,28600.0
2016010103,6884.0,37.58,6802.152,28994.0
2016010104,7028.0,37.58,6802.152,28033.0
2016010105,6831.0,36.53,5948.614,27012.0
2016010106,6816.0,36.53,5948.614,26496.0
2016010107,7291.0,29.91,5137.628999999999,26661.0
2016010108,7288.0,29.91,5137.628999999999,25861.0
2016010109,6668.0,27.96,4458.195,25196.0
2016010110,6225.0,27.96,4458.195,24843.0
2016010111,6135.0,29.88,3952.389,24339.0
2016010112,5929.0,29.88,3952.389,24510.0
2016010113,5815.0,18.04,3531.683,24843.0
2016010114,5961.0,18.04,3531.683,25166.0
2016010115,6335.0,12.75,3551.202,24730.0
2016010116,6354.0,12.75,3551.202,24516.0
2016010117,5662.0,14.21,3846.353,25024.0
2016010118,6099.0,14.21,3914.353,26200.0
2016010119,5808.0,20.0,4352.603999999999,27388.0
2016010120,6776.0,20.0,4471.603999999999,28629.0
2016010121,7617.0,31.07,4977.829,30000.0
2016010122,8287.0,31.07,5120.829,31203.0
2016010123,8641.0,34.98,5677.08,32397.0
2016010124,9103.0,34.98,5763.08,33446.0
2016010125,9570.0,40.9,6402.413,34312.0
2016010126,9672.0,40.9,6391.413,34850.0
2016010127,9533.0,37.25,7141.463,34787.0
2016010128,9307.0,37.25,7039.463,34677.0
2016010129,9466.0,31.53,7643.664000000001,34555.0
2016010130,9331.0,31.53,7513.664000000001,34720.0
2016010131,9297.0,34.52,8171.688,35226.0
2016010132,9609.0,34.52,8052.688,36081.0
2016010133,10764.0,46.41,8478.654,37848.0
2016010134,11862.0,46.41,8424.654,39495.0
2016010135,12298.0,64.5,8823.518,40343.0
2016010136,12232.0,64.5,8820.518,39987.0
2016010137,12128.0,39.55,9112.958999999999,38907.0
2016010138,11538.0,39.55,9112.958999999999,37757.0
2016010139,10700.0,37.51,9255.351999999999,36493.0
2016010140,9718.0,37.51,9255.351999999999,35412.0
2016010141,9401.0,35.0,9348.402,34230.0
2016010142,8714.0,35.0,9348.402,32757.0
2016010143,7887.0,34.94,9406.019,31405.0
2016010144,6863.0,34.94,9406.019,30201.0
2016010145,5897.0,26.91,9409.462,29165.0
2016010146,4830.0,26.91,9409.462,28203.0
2016010147,4669.0,30.0,9401.217,26478.0
2016010148,4181.0,30.0,9401.217,24907.0
2016010201,4203.0,34.07,9730.537,24655.0
