,Biomass,FossilGas,FossilHardCoal,FossilOil,HydroPumpedStorage,HydroRunOfRiver,Nuclear,OffWind,OnWind,Other,Solar,settlementDate,settlementPeriod
2016010148,0,4181,2321,0,40,712,8116,3853,4438,2032,0,1/1/2016,48
2016010147,0,4669,2270,0,192,712,8168,3861,4432,2006,0,1/1/2016,47
2016010146,0,4830,2855,0,380,720,8240,3845,4453,2042,0,1/1/2016,46
2016010145,0,5897,2991,0,344,721,8231,3829,4603,2044,0,1/1/2016,45
2016010144,0,6863,3109,0,349,720,8227,3801,4553,2039,0,1/1/2016,44
2016010143,0,7887,3300,0,713,708,8230,3794,4671,2041,0,1/1/2016,43
2016010142,0,8714,3316,0,454,724,8230,3800,4775,2039,0,1/1/2016,42
2016010141,0,9401,3671,0,791,727,8234,3775,4925,2028,0,1/1/2016,41
2016010140,0,9718,3999,0,874,727,8230,3774,4956,2042,0,1/1/2016,40
2016010139,0,10700,4410,0,483,726,8238,3801,5158,2041,0,1/1/2016,39
2016010138,0,11538,4612,0,410,743,8236,3677,5454,2035,0,1/1/2016,38
2016010137,0,12128,4725,0,389,743,8231,3707,5520,2007,0,1/1/2016,37
2016010136,0,12232,4881,0,692,737,8234,3699,5456,2043,2,1/1/2016,36
2016010135,0,12298,4759,0,801,701,8232,3729,5499,2043,4,1/1/2016,35
2016010134,0,11862,4742,0,566,689,8236,3688,5384,2044,54,1/1/2016,34
2016010133,0,10764,4507,0,404,704,8239,3605,5133,2035,103,1/1/2016,33
2016010132,0,9609,4531,0,358,768,8233,3410,4942,2039,205,1/1/2016,32
2016010131,0,9297,4441,0,602,792,8229,3480,4770,2044,306,1/1/2016,31
2016010130,0,9331,4217,0,638,878,8236,3297,4633,2041,416,1/1/2016,30
2016010129,0,9466,4195,0,652,1037,8236,3186,4524,2034,526,1/1/2016,29
2016010128,0,9307,4724,0,647,1035,8234,3016,4223,2040,615,1/1/2016,28
2016010127,0,9533,5102,0,639,1021,8242,2809,4004,2041,704,1/1/2016,27
2016010126,0,9672,5147,0,569,986,8233,2522,3754,2042,739,1/1/2016,26
2016010125,0,9570,4692,0,489,997,8235,2440,3711,2027,773,1/1/2016,25
2016010124,0,9103,4342,0,457,902,8230,2259,3717,2043,713,1/1/2016,24
2016010123,0,8641,4195,0,490,906,8233,2027,3698,2038,653,1/1/2016,23
2016010122,0,8287,3908,0,491,686,8231,1757,3469,2040,505,1/1/2016,22
2016010121,0,7617,3641,0,490,689,8216,1418,3388,2006,356,1/1/2016,21
2016010120,0,6776,3706,0,342,973,8224,1262,3138,2038,206,1/1/2016,20
2016010119,0,5808,3574,0,408,891,8223,1123,3049,2041,56,1/1/2016,19
2016010118,0,6099,3427,0,214,1025,8224,1096,2850,2039,28,1/1/2016,18
2016010117,0,5662,3539,0,50,893,8225,1047,2747,1970,0,1/1/2016,17
2016010116,0,6354,3742,0,149,1021,8213,947,2598,2032,0,1/1/2016,16
2016010115,0,6335,3573,0,0,1011,8225,910,2525,2012,0,1/1/2016,15
2016010114,0,5961,3529,0,0,891,8224,815,2464,2006,0,1/1/2016,14
2016010113,0,5815,3454,0,31,960,8222,710,2508,2039,0,1/1/2016,13
2016010112,0,5929,3245,0,0,959,8215,549,2381,2044,0,1/1/2016,12
2016010111,0,6135,3285,0,0,961,8221,463,2411,2043,0,1/1/2016,11
2016010110,0,6225,3307,0,0,960,8231,505,2535,2043,0,1/1/2016,10
2016010109,0,6668,3307,0,0,894,8235,621,2556,2039,0,1/1/2016,9
2016010108,0,7288,3126,0,41,780,8269,815,2638,2035,0,1/1/2016,8
2016010107,0,7291,3107,0,148,644,8267,933,2679,2037,0,1/1/2016,7
2016010106,0,6816,3481,0,0,643,8271,1208,2778,2043,0,1/1/2016,6
2016010105,0,6831,3634,0,0,642,8282,1605,2974,2047,0,1/1/2016,5
2016010104,0,7028,3828,0,15,643,8286,2155,3244,1946,0,1/1/2016,4
2016010103,0,6884,3861,0,0,646,8299,2501,3342,1940,0,1/1/2016,3
2016010102,0,6530,3409,0,0,662,8292,2817,3627,2043,0,1/1/2016,2
2016010101,0,5199,3514,0,0,851,8289,3252,3728,2036,0,1/1/2016,1
2016010248,0,7746,2656,0,41,733,7777,2544.841,3391.616,2038,0,1/2/2016,48
2016010247,0,8559,2712,0,67,736,7775,2587.805,3384.158,2041,0,1/2/2016,47
2016010246,0,9168,2929,0,352,796,7783,2582.867,3322.318,2039,0,1/2/2016,46
2016010245,0,9996,3406,0,381,794,7790,2502.089,3379.84,2043,0,1/2/2016,45
2016010244,0,10879,3846,0,342,792,7783,136.433,1296.563,2038,0,1/2/2016,44
2016010243,0,12148,4024,0,439,797,7777,136.433,1296.563,2042,0,1/2/2016,43
2016010242,0,13061,4049,0,342,1097,7787,139.794,1292.654,2042,0,1/2/2016,42
2016010241,0,14268,4140,0,442,1099,7782,139.794,1292.654,2041,0,1/2/2016,41
2016010240,0,15300,4811,0,342,1075,7792,142.845,1417.384,1986,0,1/2/2016,40
2016010239,0,16017,5067,0,983,1006,7786,2065.127,3289.914,1986,0,1/2/2016,39
2016010238,0,16207,5404,0,1360,1038,7781,2228.919,3250.289,2039,0,1/2/2016,38
2016010237,0,16176,5854,0,1410,1074,7794,2602.415,3221.706,2022,0,1/2/2016,37
2016010236,0,16246,5750,0,1518,1076,7784,2703.079,3146.03,2034,0,1/2/2016,36
2016010235,0,16012,5686,0,1126,1077,7793,2747.425,3121.75,2043,4,1/2/2016,35
2016010234,0,15406,5356,0,456,1068,7794,2675.904,3109.468,2040,4,1/2/2016,34
2016010233,0,13924,4930,0,363,1063,7780,2679.781,3042.217,2037,66,1/2/2016,33
2016010232,0,13039,4433,0,349,1063,7775,2656.859,2992.854,2022,56,1/2/2016,32
2016010231,0,12927,3858,0,398,1063,7781,2649.097,3030.452,2040,167,1/2/2016,31
2016010230,0,12908,3597,0,350,1062,7784,2724.978,3127.27,2036,152,1/2/2016,30
2016010229,0,12347,3849,0,502,1061,7776,2744.283,3214.082,2041,242,1/2/2016,29
2016010228,0,12350,3980,0,432,1058,7779,2778.048,3484.397,2037,248,1/2/2016,28
2016010227,0,12038,4064,0,428,1058,7784,2957.814,3493.938,2041,412,1/2/2016,27
2016010226,0,11744,4248,0,511,1060,7787,3081.176,3638.359,2040,311,1/2/2016,26
2016010225,0,11463,3951,0,698,1051,7782,3091.206,3596.838,2044,373,1/2/2016,25
2016010224,0,10817,3996,0,451,1039,7785,3212.528,3935.816,2042,316,1/2/2016,24
2016010223,0,10166,4049,0,344,987,7786,3222.581,4172.357,2039,336,1/2/2016,23
2016010222,0,9883,3923,0,342,711,7787,3225.308,4128.713,2035,248,1/2/2016,22
2016010221,0,9077,3867,0,342,743,7793,3171.45,4184.602,2027,217,1/2/2016,21
2016010220,0,8043,3795,0,342,670,7790,3070.304,4291.701,2032,134,1/2/2016,20
2016010219,0,7098,3600,0,342,656,7797,3087.222,4228.951,1943,84,1/2/2016,19
2016010218,0,5999,3232,0,350,655,7791,3142.866,4445.933,2036,38,1/2/2016,18
2016010217,0,4988,2955,0,343,653,7793,3181,4531,2038,0,1/2/2016,17
2016010216,0,4128,2675,0,167,653,7789,3640,4604,2027,0,1/2/2016,16
2016010215,0,4011,2330,0,0,651,7790,3190.731,4724.12,1724,0,1/2/2016,15
2016010214,0,3447,1957,0,0,649,7784,3209.592,4842.67,1314,0,1/2/2016,14
2016010213,0,3664,1859,0,0,650,7789,3629,4909,1196,0,1/2/2016,13
2016010212,0,3514,2073,0,0,646,7795,163.939,2063.887,1311,0,1/2/2016,12
2016010211,0,3499,1751,0,0,650,7795,163.939,2063.887,1157,0,1/2/2016,11
2016010210,0,3475,1697,0,0,648,7793,3234.896,5029.426,1158,0,1/2/2016,10
2016010209,0,3503,1647,0,0,649,7794,3251.696,4887.857,1308,0,1/2/2016,9
2016010208,0,3314,1805,0,0,650,7801,166.825,2186.577,2012,0,1/2/2016,8
2016010207,0,3722,2092,0,0,670,7801,166.825,2186.577,2023,0,1/2/2016,7
2016010206,0,3955,2122,0,0,670,7802,171.634,2243.983,1910,0,1/2/2016,6
2016010205,0,3991,1990,0,0,687,7882,171.634,2243.983,1852,0,1/2/2016,5
2016010204,0,4299,2060,0,0,691,7951,176.581,2295.592,1974,0,1/2/2016,4
2016010203,0,4349,2075,0,0,693,7950,3289.707,4573.427,1869,0,1/2/2016,3
2016010202,0,4286,2004,0,0,694,8030,3315.974,4475.449,1706,0,1/2/2016,2
2016010201,0,4203,2166,0,0,694,8057,3339.261,4432.496,1756,0,1/2/2016,1
2016010348,0,8110,2813,0,46,717,7833,1172,3244,2044,0,1/3/2016,48
2016010347,0,8906,3088,0,305,722,7848,1081,3348,2042,0,1/3/2016,47
2016010346,0,9377,3538,0,706,783,7862,986,3598,2040,0,1/3/2016,46
2016010345,0,10993,3885,0,501,785,7879,1010,3632,2040,0,1/3/2016,45
2016010344,0,11900,4228,0,369,782,7905,1155,3794,2039,0,1/3/2016,44
2016010343,0,13132,4588,0,536,783,7906,1264,3860,2039,0,1/3/2016,43
2016010342,0,14448,4494,0,427,780,7916,1475,4004,2042,0,1/3/2016,42
2016010341,0,14989,4719,0,732,754,7911,1590,4087,2040,0,1/3/2016,41
2016010340,0,15490,5118,0,559,751,7913,1867,4205,2039,0,1/3/2016,40
2016010339,0,16096,5318,0,770,750,7924,2062,4233,2042,0,1/3/2016,39
2016010338,0,16313,5623,0,939,751,7913,2526,4360,2041,0,1/3/2016,38
2016010337,0,16542,6064,0,469,750,7921,2902,4487,2040,0,1/3/2016,37
2016010336,0,16738,6162,0,423,827,7915,2984,4429,2040,10,1/3/2016,36
2016010335,0,16402,5957,0,925,827,7914,3023,4345,2042,19,1/3/2016,35
2016010334,0,15727,5691,0,468,827,7914,3059,4336,2044,141,1/3/2016,34
2016010333,0,14432,5063,0,360,703,7878,3165,4251,2041,262,1/3/2016,33
2016010332,0,13687,4378,0,342,727,7781,3262,4341,2041,431,1/3/2016,32
2016010331,0,13721,3718,0,342,730,7786,3272,4509,2037,600,1/3/2016,31
2016010330,0,13882,3325,0,383,723,7768,3369,4475,2040,613,1/3/2016,30
2016010329,0,13832,3229,0,423,733,7781,3466,4493,2041,625,1/3/2016,29
2016010328,0,13569,3034,0,652,734,7783,3618,4517,2042,555,1/3/2016,28
2016010327,0,13248,3054,0,902,731,7785,3663,4572,2041,485,1/3/2016,27
2016010326,0,13155,3011,0,756,732,7772,3657,4530,2041,461,1/3/2016,26
2016010325,0,12970,2956,0,342,725,7786,3614,4493,2042,436,1/3/2016,25
2016010324,0,12482,3039,0,372,731,7782,3550,4384,2043,382,1/3/2016,24
2016010323,0,11886,3012,0,342,734,7790,3422,4192,2041,328,1/3/2016,23
2016010322,0,11087,2773,0,556,699,7791,3198,3943,2044,241,1/3/2016,22
2016010321,0,9818,2627,0,648,699,7782,3175,3805,2044,154,1/3/2016,21
2016010320,0,8443,2658,0,347,697,7779,3230,3678,2043,90,1/3/2016,20
2016010319,0,7065,2595,0,343,696,7785,3176,3483,2042,26,1/3/2016,19
2016010318,0,6511,2522,0,221,681,7786,2911,3473,2045,13,1/3/2016,18
2016010317,0,5855,2213,0,0,681,7781,2422,3753,2042,0,1/3/2016,17
2016010316,0,5279,2137,0,0,677,7786,2234,3871,2042,0,1/3/2016,16
2016010315,0,5854,2171,0,0,678,7774,2097,3966,2042,0,1/3/2016,15
2016010314,0,5648,2223,0,0,661,7782,1875,3845,2044,0,1/3/2016,14
2016010313,0,5279,2203,0,0,661,7774,1945,3860,2028,0,1/3/2016,13
2016010312,0,4784,2125,0,0,658,7791,2223,3817,1810,0,1/3/2016,12
2016010311,0,5112,2083,0,0,660,7781,2251,3688,1459,0,1/3/2016,11
2016010310,0,4883,2145,0,0,660,7795,2140,3658,1796,0,1/3/2016,10
2016010309,0,4834,2266,0,0,658,7781,2603,3656,2005,0,1/3/2016,9
2016010308,0,5106,2342,0,0,673,7787,2542,3607,2042,0,1/3/2016,8
2016010307,0,5825,2347,0,0,672,7784,2465,3566,2044,0,1/3/2016,7
2016010306,0,6519,2336,0,0,672,7786,2341,3415,2040,0,1/3/2016,6
2016010305,0,6711,2508,0,0,675,7779,2341,3409,2042,0,1/3/2016,5
2016010304,0,7138,2605,0,0,673,7780,2371,3285,2040,0,1/3/2016,4
2016010303,0,7350,2520,0,0,698,7775,2486,3280,2041,0,1/3/2016,3
2016010302,0,6959,2547,0,0,728,7778,2666,3452,2039,0,1/3/2016,2
2016010301,0,7287,2477,0,0,734,7779,2826,3509,2043,0,1/3/2016,1
2016010448,0,8357,3463,0,121,806,7700,1854,3144,2041,0,1/4/2016,48
2016010447,0,9462,3779,0,113,807,7705,1912,3379,2050,0,1/4/2016,47
2016010446,0,11005,4059,0,791,773,7702,1910,3476,2033,0,1/4/2016,46
2016010445,0,12450,4647,0,827,787,7704,1986,3657,2035,0,1/4/2016,45
2016010444,0,13996,5197,0,529,802,7704,2014,3936,2029,0,1/4/2016,44
2016010443,0,15458,5676,0,909,824,7698,2030,4330,1993,0,1/4/2016,43
2016010442,0,15584,7407,0,345,824,7712,2160,4537,2037,0,1/4/2016,42
2016010441,0,16738,8146,0,395,825,7710,2264,4528,2037,0,1/4/2016,41
2016010440,0,17407,8495,0,1018,826,7705,2289,4430,2041,0,1/4/2016,40
2016010439,0,19105,8430,0,920,824,7708,2338,4301,2038,0,1/4/2016,39
2016010438,0,20024,8623,0,665,827,7693,2346,4352,2033,0,1/4/2016,38
2016010437,0,19925,9012,0,512,918,7631,2427,4384,2037,0,1/4/2016,37
2016010436,0,19722,8972,0,491,935,7784,2520,4377,2040,6,1/4/2016,36
2016010435,0,19872,8953,0,378,954,7814,2577,4359,2036,11,1/4/2016,35
2016010434,0,19287,9138,0,342,953,7837,2602,4260,2038,111,1/4/2016,34
2016010433,0,18629,8218,0,351,841,7836,2540,4144,2039,211,1/4/2016,33
2016010432,0,17806,7658,0,365,827,7835,2485,4136,2036,368,1/4/2016,32
2016010431,0,17657,6864,0,375,824,7843,2400,4112,2030,524,1/4/2016,31
2016010430,0,17481,6572,0,692,830,7739,2371,4015,2036,696,1/4/2016,30
2016010429,0,17503,6837,0,410,829,7723,2318,3918,2035,868,1/4/2016,29
2016010428,0,17399,6847,0,530,799,7737,2326,3814,2038,917,1/4/2016,28
2016010427,0,17420,6907,0,566,780,7733,2414,3831,2039,965,1/4/2016,27
2016010426,0,17478,6932,0,698,761,7728,2254,3768,2023,906,1/4/2016,26
2016010425,0,17371,6877,0,692,759,7726,2188,3641,2038,847,1/4/2016,25
2016010424,0,17346,6966,0,354,774,7732,2240,3663,2039,814,1/4/2016,24
2016010423,0,17277,6910,0,342,779,7734,2068,3616,2018,781,1/4/2016,23
2016010422,0,17353,6913,0,342,810,7727,2048,3506,2042,585,1/4/2016,22
2016010421,0,17373,6787,0,378,819,7720,1986,3457,2041,388,1/4/2016,21
2016010420,0,17346,6809,0,459,818,7731,1913,3370,2044,227,1/4/2016,20
2016010419,0,16978,6725,0,537,814,7726,1670,3245,2042,66,1/4/2016,19
2016010418,0,16128,6599,0,438,788,7728,1613,3137,2043,33,1/4/2016,18
2016010417,0,15047,6591,0,556,784,7729,1586,3112,2044,0,1/4/2016,17
2016010416,0,14287,5901,0,555,781,7726,1556,3059,2042,0,1/4/2016,16
2016010415,0,12517,5179,0,191,779,7738,1478,3039,2040,0,1/4/2016,15
2016010414,0,10258,4437,0,57,689,7730,1513,3124,2042,0,1/4/2016,14
2016010413,0,8255,3438,0,48,687,7727,1579,3181,2042,0,1/4/2016,13
2016010412,0,7818,2903,0,30,689,7738,1509,3145,2041,0,1/4/2016,12
2016010411,0,7604,2700,0,0,689,7744,1438,3285,2038,0,1/4/2016,11
2016010410,0,7370,2623,0,0,691,7740,1418,3310,2038,0,1/4/2016,10
2016010409,0,7421,2457,0,0,690,7755,1492,3329,2040,0,1/4/2016,9
2016010408,0,7670,2596,0,0,691,7752,1486,3257,2036,0,1/4/2016,8
2016010407,0,8149,2611,0,0,690,7775,1513,3203,2043,0,1/4/2016,7
2016010406,0,8194,2964,0,0,689,7785,1420,3157,2044,0,1/4/2016,6
2016010405,0,8732,2963,0,0,689,7801,1310,2974,2041,0,1/4/2016,5
2016010404,0,8843,2958,0,0,688,7801,1315,2969,2042,0,1/4/2016,4
2016010403,0,8656,2724,0,0,691,7803,1394,3130,2045,0,1/4/2016,3
2016010402,0,7980,2785,0,0,704,7804,1299,3141,2043,0,1/4/2016,2
2016010401,0,7695,2799,0,0,716,7829,1214,3148,2042,0,1/4/2016,1
2016010548,0,9904,4145,0,41,780,7825,880,2487,2095,0,1/5/2016,48
2016010547,0,11271,4492,0,43,783,7825,878,2457,2097,0,1/5/2016,47
2016010546,0,12531,5464,0,371,801,7817,934,2539,2096,0,1/5/2016,46
2016010545,0,14619,5720,0,517,836,7821,888,2583,2094,0,1/5/2016,45
2016010544,0,16385,5966,0,491,1021,7818,950,2480,2094,0,1/5/2016,44
2016010543,0,18069,6598,0,954,1021,7811,822,2429,2091,0,1/5/2016,43
2016010542,0,19081,7582,0,343,1020,7814,861,2558,2093,0,1/5/2016,42
2016010541,0,19944,8891,0,647,1024,7812,883,2521,2097,0,1/5/2016,41
2016010540,0,20039,9648,0,455,1023,7823,951,2474,2096,0,1/5/2016,40
2016010539,0,20315,10283,0,874,1024,7808,879,2422,2096,0,1/5/2016,39
2016010538,0,20761,10598,0,728,1024,7812,973,2433,2093,0,1/5/2016,38
2016010537,0,20879,10496,0,1200,1024,7808,979,2462,2090,0,1/5/2016,37
2016010536,0,20600,10329,0,1324,1024,7808,1202,2545,2097,7,1/5/2016,36
2016010535,0,20744,10059,0,1359,1024,7806,1047,2607,2094,13,1/5/2016,35
2016010534,0,20288,9948,0,1122,1023,7804,913,2674,2092,136,1/5/2016,34
2016010533,0,19333,9056,0,421,923,7809,1063,2827,2093,258,1/5/2016,33
