,settlementPeriod,settlementDate,APXPrice,APXVolume
2016010147,47,1/1/2016,30,6347.1
2016010148,48,1/1/2016,30,6347.1
2016010101,1,1/1/2016,31.1,6342.2
2016010102,2,1/1/2016,31.1,6342.2
2016010103,3,1/1/2016,37.58,6109.5
2016010104,4,1/1/2016,37.58,6109.5
2016010105,5,1/1/2016,36.53,5927.6
2016010106,6,1/1/2016,36.53,5927.6
2016010107,7,1/1/2016,29.91,5991.1
2016010108,8,1/1/2016,29.91,5991.1
2016010109,9,1/1/2016,27.96,6017.8
2016010110,10,1/1/2016,27.96,6017.8
2016010111,11,1/1/2016,29.88,6162.6
2016010112,12,1/1/2016,29.88,6162.6
2016010113,13,1/1/2016,18.04,6261.9
2016010114,14,1/1/2016,18.04,6261.9
2016010115,15,1/1/2016,12.75,5950.2
2016010116,16,1/1/2016,12.75,5950.2
2016010117,17,1/1/2016,14.21,5921.8
2016010118,18,1/1/2016,14.21,5921.8
2016010119,19,1/1/2016,20,5865.1
2016010120,20,1/1/2016,20,5865.1
2016010121,21,1/1/2016,31.07,5775.3
2016010122,22,1/1/2016,31.07,5775.3
2016010123,23,1/1/2016,34.98,5486.4
2016010124,24,1/1/2016,34.98,5486.4
2016010125,25,1/1/2016,40.9,5414.7
2016010126,26,1/1/2016,40.9,5414.7
2016010127,27,1/1/2016,37.25,5488.4
2016010128,28,1/1/2016,37.25,5488.4
2016010129,29,1/1/2016,31.53,5539.3
2016010130,30,1/1/2016,31.53,5539.3
2016010131,31,1/1/2016,34.52,6289.8
2016010132,32,1/1/2016,34.52,6289.8
2016010133,33,1/1/2016,46.41,6270.7
2016010134,34,1/1/2016,46.41,6270.7
2016010135,35,1/1/2016,64.5,6320.3
2016010136,36,1/1/2016,64.5,6320.3
2016010137,37,1/1/2016,39.55,6411.5
2016010138,38,1/1/2016,39.55,6411.5
2016010139,39,1/1/2016,37.51,5997.3
2016010140,40,1/1/2016,37.51,5997.3
2016010141,41,1/1/2016,35,5796.4
2016010142,42,1/1/2016,35,5796.4
2016010143,43,1/1/2016,34.94,5803.1
2016010144,44,1/1/2016,34.94,5803.1
2016010145,45,1/1/2016,26.91,5953.7
2016010146,46,1/1/2016,26.91,5953.7
2016010247,47,1/2/2016,33.6,6804.4
2016010248,48,1/2/2016,33.6,6804.4
2016010201,1,1/2/2016,34.07,6303.5
2016010202,2,1/2/2016,34.07,6303.5
2016010203,3,1/2/2016,32.96,5956.7
2016010204,4,1/2/2016,32.96,5956.7
2016010205,5,1/2/2016,21.53,5644.7
2016010206,6,1/2/2016,21.53,5644.7
2016010207,7,1/2/2016,18,5625.6
2016010208,8,1/2/2016,18,5625.6
2016010209,9,1/2/2016,9.9,5756.6
2016010210,10,1/2/2016,9.9,5756.6
2016010211,11,1/2/2016,14.97,5677
2016010212,12,1/2/2016,14.97,5677
2016010213,13,1/2/2016,20.74,5830.1
2016010214,14,1/2/2016,20.74,5830.1
2016010215,15,1/2/2016,17,5680.7
2016010216,16,1/2/2016,17,5680.7
2016010217,17,1/2/2016,24.62,5748
2016010218,18,1/2/2016,24.62,5748
