,quantity,settlementDate,settlementPeriod
2016010148,31727,2016-01-01,48
2016010147,32548,2016-01-01,47
2016010146,35205,2016-01-01,46
2016010145,36138,2016-01-01,45
2016010144,37689,2016-01-01,44
2016010143,38275,2016-01-01,43
2016010142,39162,2016-01-01,42
2016010141,40211,2016-01-01,41
2016010140,40430,2016-01-01,40
2016010139,41547,2016-01-01,39
2016010138,43820,2016-01-01,38
2016010137,44770,2016-01-01,37
2016010136,45225,2016-01-01,36
2016010135,44949,2016-01-01,35
2016010134,43997,2016-01-01,34
2016010133,43007,2016-01-01,33
2016010132,41958,2016-01-01,32
2016010131,41144,2016-01-01,31
2016010130,40589,2016-01-01,30
2016010129,40315,2016-01-01,29
2016010128,40107,2016-01-01,28
2016010127,39732,2016-01-01,27
2016010126,39506,2016-01-01,26
2016010125,39238,2016-01-01,25
2016010124,38874,2016-01-01,24
2016010123,38032,2016-01-01,23
2016010122,37395,2016-01-01,22
2016010121,37473,2016-01-01,21
2016010120,36189,2016-01-01,20
2016010119,35083,2016-01-01,19
2016010118,33803,2016-01-01,18
2016010117,33530,2016-01-01,17
2016010116,32908,2016-01-01,16
2016010115,31981,2016-01-01,15
2016010114,30234,2016-01-01,14
2016010113,29992,2016-01-01,13
2016010112,30289,2016-01-01,12
2016010111,30342,2016-01-01,11
2016010110,30133,2016-01-01,10
2016010109,30326,2016-01-01,9
2016010108,30792,2016-01-01,8
2016010107,31075,2016-01-01,7
2016010106,31797,2016-01-01,6
2016010105,32358,2016-01-01,5
2016010104,32594,2016-01-01,4
2016010103,33139,2016-01-01,3
2016010102,33689,2016-01-01,2
2016010101,33953,2016-01-01,1
2016010201,,2016-01-02,1
2016010202,,2016-01-02,2
2016010203,,2016-01-02,3
2016010204,,2016-01-02,4
2016010205,,2016-01-02,5
2016010206,,2016-01-02,6
2016010207,,2016-01-02,7
2016010208,,2016-01-02,8
2016010209,,2016-01-02,9
2016010210,,2016-01-02,10
2016010211,,2016-01-02,11
2016010212,,2016-01-02,12
2016010213,,2016-01-02,13
2016010214,,2016-01-02,14
2016010215,,2016-01-02,15
2016010216,,2016-01-02,16
2016010217,,2016-01-02,17
2016010218,,2016-01-02,18
2016010219,,2016-01-02,19
2016010220,,2016-01-02,20
2016010221,,2016-01-02,21
2016010222,,2016-01-02,22
2016010223,,2016-01-02,23
2016010224,,2016-01-02,24
2016010225,,2016-01-02,25
2016010226,,2016-01-02,26
2016010227,,2016-01-02,27
2016010228,,2016-01-02,28
2016010229,,2016-01-02,29
2016010230,,2016-01-02,30
2016010231,,2016-01-02,31
2016010232,,2016-01-02,32
2016010233,,2016-01-02,33
2016010234,,2016-01-02,34
2016010235,,2016-01-02,35
2016010236,,2016-01-02,36
2016010237,,2016-01-02,37
2016010238,,2016-01-02,38
2016010239,,2016-01-02,39
2016010240,,2016-01-02,40
2016010241,,2016-01-02,41
2016010242,,2016-01-02,42
2016010243,,2016-01-02,43
2016010244,,2016-01-02,44
2016010245,,2016-01-02,45
2016010246,,2016-01-02,46
2016010247,,2016-01-02,47
2016010248,,2016-01-02,48
2016010348,3356,2016-01-03,48
2016010347,3386,2016-01-03,47
2016010346,3451,2016-01-03,46
2016010345,3508,2016-01-03,45
2016010344,3575,2016-01-03,44
2016010343,3640,2016-01-03,43
2016010342,3733,2016-01-03,42
2016010341,3805,2016-01-03,41
2016010340,3909,2016-01-03,40
2016010339,4001,2016-01-03,39
2016010338,4161,2016-01-03,38
2016010337,4293,2016-01-03,37
2016010336,4406,2016-01-03,36
2016010335,4470,2016-01-03,35
2016010334,4444,2016-01-03,34
2016010333,4392,2016-01-03,33
2016010332,4412,2016-01-03,32
2016010331,4512,2016-01-03,31
2016010330,4625,2016-01-03,30
2016010329,4642,2016-01-03,29
2016010328,4684,2016-01-03,28
2016010327,4687,2016-01-03,27
2016010326,4684,2016-01-03,26
2016010325,4634,2016-01-03,25
2016010324,4585,2016-01-03,24
2016010323,4476,2016-01-03,23
2016010322,4362,2016-01-03,22
2016010321,4248,2016-01-03,21
2016010320,4118,2016-01-03,20
2016010319,4034,2016-01-03,19
2016010318,3918,2016-01-03,18
2016010317,3864,2016-01-03,17
2016010316,3789,2016-01-03,16
2016010315,3744,2016-01-03,15
2016010314,3663,2016-01-03,14
2016010313,3637,2016-01-03,13
2016010312,3610,2016-01-03,12
2016010311,3600,2016-01-03,11
2016010310,3579,2016-01-03,10
2016010309,3565,2016-01-03,9
2016010308,3551,2016-01-03,8
2016010307,3526,2016-01-03,7
2016010306,3497,2016-01-03,6
2016010305,3490,2016-01-03,5
2016010304,3487,2016-01-03,4
2016010303,3495,2016-01-03,3
2016010302,3510,2016-01-03,2
2016010301,3535,2016-01-03,1
2016010448,3568,2016-01-04,48
2016010447,3592,2016-01-04,47
2016010446,3650,2016-01-04,46
2016010445,3675,2016-01-04,45
2016010444,3710,2016-01-04,44
2016010443,3745,2016-01-04,43
2016010442,3809,2016-01-04,42
2016010441,3835,2016-01-04,41
2016010440,3893,2016-01-04,40
2016010439,3945,2016-01-04,39
2016010438,4065,2016-01-04,38
2016010437,4150,2016-01-04,37
2016010436,4216,2016-01-04,36
2016010435,4239,2016-01-04,35
2016010434,4172,2016-01-04,34
2016010433,4092,2016-01-04,33
2016010432,4084,2016-01-04,32
2016010431,4189,2016-01-04,31
2016010430,4306,2016-01-04,30
2016010429,4393,2016-01-04,29
2016010428,4505,2016-01-04,28
2016010427,4574,2016-01-04,27
2016010426,4636,2016-01-04,26
2016010425,4594,2016-01-04,25
2016010424,4554,2016-01-04,24
2016010423,4434,2016-01-04,23
2016010422,4308,2016-01-04,22
2016010421,4151,2016-01-04,21
2016010420,3979,2016-01-04,20
2016010419,3845,2016-01-04,19
2016010418,3680,2016-01-04,18
2016010417,3635,2016-01-04,17
2016010416,3569,2016-01-04,16
2016010415,3548,2016-01-04,15
2016010414,3491,2016-01-04,14
2016010413,3474,2016-01-04,13
2016010412,3456,2016-01-04,12
2016010411,3451,2016-01-04,11
2016010410,3435,2016-01-04,10
2016010409,3431,2016-01-04,9
2016010408,3426,2016-01-04,8
2016010407,3425,2016-01-04,7
2016010406,3421,2016-01-04,6
2016010405,3387,2016-01-04,5
2016010404,3358,2016-01-04,4
2016010403,3368,2016-01-04,3
2016010402,3384,2016-01-04,2
2016010401,3409,2016-01-04,1
2016010548,3103,2016-01-05,48
2016010547,3117,2016-01-05,47
2016010546,3166,2016-01-05,46
2016010545,3184,2016-01-05,45
2016010544,3212,2016-01-05,44
2016010543,3240,2016-01-05,43
2016010542,3296,2016-01-05,42
2016010541,3322,2016-01-05,41
2016010540,3381,2016-01-05,40
2016010539,3434,2016-01-05,39
2016010538,3556,2016-01-05,38
2016010537,3647,2016-01-05,37
2016010536,3718,2016-01-05,36
2016010535,3758,2016-01-05,35
2016010534,3710,2016-01-05,34
2016010533,3663,2016-01-05,33
2016010532,3689,2016-01-05,32
2016010531,3817,2016-01-05,31
2016010530,3959,2016-01-05,30
2016010529,4058,2016-01-05,29
2016010528,4183,2016-01-05,28
2016010527,4255,2016-01-05,27
2016010526,4321,2016-01-05,26
2016010525,4293,2016-01-05,25
2016010524,4267,2016-01-05,24
2016010523,4155,2016-01-05,23
2016010522,4036,2016-01-05,22
2016010521,3909,2016-01-05,21
2016010520,3767,2016-01-05,20
2016010519,3697,2016-01-05,19
2016010518,3595,2016-01-05,18
2016010517,3562,2016-01-05,17
2016010516,3509,2016-01-05,16
2016010515,3506,2016-01-05,15
2016010514,3467,2016-01-05,14
2016010513,3466,2016-01-05,13
2016010512,3464,2016-01-05,12
2016010511,3476,2016-01-05,11
2016010510,3477,2016-01-05,10
2016010509,3478,2016-01-05,9
2016010508,3478,2016-01-05,8
2016010507,3481,2016-01-05,7
2016010506,3480,2016-01-05,6
2016010505,3480,2016-01-05,5
2016010504,3485,2016-01-05,4
2016010503,3488,2016-01-05,3
2016010502,3497,2016-01-05,2
2016010501,3510,2016-01-05,1
2016010648,3771,2016-01-06,48
2016010647,3749,2016-01-06,47
2016010646,3761,2016-01-06,46
2016010645,3741,2016-01-06,45
2016010644,3732,2016-01-06,44
2016010643,3726,2016-01-06,43
2016010642,3748,2016-01-06,42
2016010641,3851,2016-01-06,41
2016010640,3986,2016-01-06,40
2016010639,4006,2016-01-06,39
2016010638,4095,2016-01-06,38
2016010637,4165,2016-01-06,37
2016010636,4215,2016-01-06,36
2016010635,4202,2016-01-06,35
2016010634,4101,2016-01-06,34
2016010633,3995,2016-01-06,33
2016010632,3961,2016-01-06,32
2016010631,4049,2016-01-06,31
