,buyPriceAdjustment,indicativeNetImbalanceVolume,reserveScarcityPrice,sellPriceAdjustment,settlementDate,settlementPeriod,systemBuyPrice,systemSellPrice
2016010101,0.00,-253.3504,NULL,0.00,2016-01-01,1,29.60000,29.60000
2016010102,0.00,55.8867,NULL,0.00,2016-01-01,2,48.13640,48.13640
2016010103,0.00,239.7857,NULL,0.00,2016-01-01,3,49.02361,49.02361
2016010104,0.00,18.1805,NULL,0.00,2016-01-01,4,46.00000,46.00000
2016010105,0.00,89.0833,NULL,0.00,2016-01-01,5,48.50000,48.50000
2016010106,0.00,161.2316,NULL,0.00,2016-01-01,6,48.50000,48.50000
2016010107,0.00,465.9382,NULL,0.00,2016-01-01,7,59.00000,59.00000
2016010108,0.00,162.2587,NULL,0.00,2016-01-01,8,49.93831,49.93831
2016010109,0.00,208.8244,NULL,0.00,2016-01-01,9,54.23616,54.23616
2016010110,0.00,122.6222,NULL,0.00,2016-01-01,10,48.50000,48.50000
2016010111,0.00,11.3985,NULL,0.00,2016-01-01,11,41.92554,41.92554
2016010112,0.00,-117.8619,NULL,0.00,2016-01-01,12,30.30878,30.30878
2016010113,0.00,-311.2036,NULL,0.00,2016-01-01,13,30.07056,30.07056
2016010114,0.00,-344.3887,NULL,0.00,2016-01-01,14,30.07484,30.07484
2016010115,0.00,-162.5875,0.00000,0.00,2016-01-01,15,30.20000,30.20000
2016010116,0.00,-131.8168,0.00000,0.00,2016-01-01,16,30.20000,30.20000
2016010117,0.00,-384.8852,0.00000,0.00,2016-01-01,17,29.60000,29.60000
2016010118,0.00,-189.0017,0.00000,0.00,2016-01-01,18,30.20000,30.20000
2016010119,0.00,-99.8195,0.00000,0.00,2016-01-01,19,30.30879,30.30879
2016010120,0.00,-41.5695,0.00000,0.00,2016-01-01,20,31.25000,31.25000
2016010121,0.00,15.6855,0.00000,0.00,2016-01-01,21,46.00000,46.00000
2016010122,0.00,78.1666,0.00000,0.00,2016-01-01,22,46.00000,46.00000
2016010123,0.00,-4.4411,0.00000,0.00,2016-01-01,23,31.25000,31.25000
2016010124,0.00,238.7801,0.00000,0.00,2016-01-01,24,47.91034,47.91034
2016010125,0.00,544.3098,0.00000,0.00,2016-01-01,25,48.00000,48.00000
2016010126,0.00,733.5483,0.00000,0.00,2016-01-01,26,48.59868,48.59868
2016010127,0.00,469.1448,0.00000,0.00,2016-01-01,27,48.00000,48.00000
2016010128,0.00,72.0532,NULL,0.00,2016-01-01,28,47.45810,47.45810
2016010129,0.00,-39.2061,NULL,0.00,2016-01-01,29,31.25000,31.25000
2016010130,0.00,-237.3437,NULL,0.00,2016-01-01,30,30.20000,30.20000
2016010131,0.00,-235.7103,NULL,0.00,2016-01-01,31,30.20000,30.20000
2016010132,1.29,-256.1893,NULL,0.00,2016-01-01,32,30.20000,30.20000
2016010133,1.29,-183.5525,0.00000,0.00,2016-01-01,33,30.20000,30.20000
2016010134,1.29,-647.6479,0.00000,0.00,2016-01-01,34,29.60000,29.60000
2016010135,1.29,-417.0558,0.00000,0.00,2016-01-01,35,30.00951,30.00951
2016010136,1.29,-604.4225,0.00000,0.00,2016-01-01,36,29.60000,29.60000
2016010137,1.29,-451.9478,0.00000,0.00,2016-01-01,37,29.95000,29.95000
2016010138,1.29,-641.7405,0.00000,0.00,2016-01-01,38,29.60000,29.60000
2016010139,0.00,-202.5469,0.00000,0.00,2016-01-01,39,30.20000,30.20000
2016010140,0.00,86.0349,0.00000,0.00,2016-01-01,40,48.00000,48.00000
2016010141,0.00,-112.6917,0.00000,0.00,2016-01-01,41,30.20000,30.20000
2016010142,0.00,-31.5726,0.00000,0.00,2016-01-01,42,31.86788,31.86788
2016010143,0.00,320.2547,NULL,0.00,2016-01-01,43,39.99000,39.99000
2016010144,0.00,-32.2400,NULL,0.00,2016-01-01,44,30.69000,30.69000
2016010145,0.00,-262.4663,NULL,0.00,2016-01-01,45,30.20000,30.20000
2016010146,0.00,-438.4920,NULL,0.00,2016-01-01,46,29.60000,29.60000
2016010147,0.00,31.0327,NULL,0.00,2016-01-01,47,39.28000,39.28000
2016010148,0.00,-269.5948,NULL,0.00,2016-01-01,48,30.13686,30.13686
2016010201,0.00,-460.3895,NULL,0.00,2016-01-02,1,29.60000,29.60000
2016010202,0.00,-456.5892,NULL,0.00,2016-01-02,2,29.60000,29.60000
2016010203,0.00,-213.4501,NULL,0.00,2016-01-02,3,30.20000,30.20000
2016010204,0.00,-481.4112,NULL,0.00,2016-01-02,4,29.60000,29.60000
2016010205,0.00,-396.8588,NULL,0.00,2016-01-02,5,29.60000,29.60000
2016010206,0.00,-347.0499,NULL,0.00,2016-01-02,6,29.60000,29.60000
2016010207,0.00,-293.0685,NULL,0.00,2016-01-02,7,29.72518,29.72518
2016010208,0.00,-518.8918,NULL,0.00,2016-01-02,8,24.45801,24.45801
2016010209,0.00,-730.5296,NULL,0.00,2016-01-02,9,13.00000,13.00000
2016010210,0.00,-730.9929,NULL,0.00,2016-01-02,10,13.00000,13.00000
2016010211,0.00,-522.2717,NULL,0.00,2016-01-02,11,21.89085,21.89085
2016010212,0.00,-409.4077,NULL,0.00,2016-01-02,12,29.60000,29.60000
2016010213,0.00,-770.0838,NULL,0.00,2016-01-02,13,13.00000,13.00000
2016010214,0.00,-656.5369,NULL,0.00,2016-01-02,14,13.00000,13.00000
2016010215,0.00,-796.7983,NULL,0.00,2016-01-02,15,13.00000,13.00000
2016010216,0.00,-913.5201,NULL,0.00,2016-01-02,16,13.00000,13.00000
2016010217,0.00,-731.7689,NULL,0.00,2016-01-02,17,24.47970,24.47970
2016010218,0.00,-475.1554,NULL,0.00,2016-01-02,18,24.13437,24.13437
2016010219,0.00,-521.4999,NULL,0.00,2016-01-02,19,25.02010,25.02010
2016010220,0.00,-832.2257,NULL,0.00,2016-01-02,20,25.00000,25.00000
2016010221,0.00,-596.9990,NULL,0.00,2016-01-02,21,27.48768,27.48768
2016010222,0.00,-328.7152,0.00000,0.00,2016-01-02,22,29.60000,29.60000
2016010223,0.00,-413.0697,0.00000,0.00,2016-01-02,23,28.20000,28.20000
2016010224,0.00,-447.4665,0.00000,0.00,2016-01-02,24,27.60197,27.60197
2016010225,0.00,-62.6098,0.00000,0.00,2016-01-02,25,30.09046,30.09046
2016010226,0.00,-143.6914,0.00000,0.00,2016-01-02,26,29.60000,29.60000
2016010227,0.00,-16.4134,0.00000,0.00,2016-01-02,27,29.60000,29.60000
2016010228,0.00,41.3394,NULL,0.00,2016-01-02,28,45.44801,45.44801
2016010229,0.00,40.8942,NULL,0.00,2016-01-02,29,44.89000,44.89000
2016010230,0.00,-17.7481,NULL,0.00,2016-01-02,30,32.20000,32.20000
2016010231,0.00,13.5702,NULL,0.00,2016-01-02,31,44.89000,44.89000
2016010232,5.72,-112.7494,NULL,0.00,2016-01-02,32,29.90770,29.90770
2016010233,5.72,22.0705,0.00000,0.00,2016-01-02,33,48.72000,48.72000
2016010234,5.72,103.2684,0.00000,0.00,2016-01-02,34,51.72000,51.72000
2016010235,5.72,451.0155,0.00000,0.00,2016-01-02,35,71.41031,71.41031
2016010236,5.72,574.2750,0.00060,0.00,2016-01-02,36,80.58950,80.58950
2016010237,5.72,496.8749,0.00000,0.00,2016-01-02,37,71.72000,71.72000
2016010238,5.72,223.7653,0.00000,0.00,2016-01-02,38,52.92160,52.92160
2016010239,0.00,290.2883,0.00000,0.00,2016-01-02,39,58.16000,58.16000
2016010240,0.00,-94.9999,0.00000,0.00,2016-01-02,40,32.20000,32.20000
2016010241,0.00,-321.2399,0.00000,0.00,2016-01-02,41,29.00000,29.00000
2016010242,0.00,-461.0856,NULL,0.00,2016-01-02,42,27.60573,27.60573
