,TSDF,settlementDate,settlementPeriod
2016010101,28400,1/1/2016,1
2016010102,28600,1/1/2016,2
2016010103,28994,1/1/2016,3
2016010104,28033,1/1/2016,4
2016010105,27012,1/1/2016,5
2016010106,26496,1/1/2016,6
2016010107,26661,1/1/2016,7
2016010108,25861,1/1/2016,8
2016010109,25196,1/1/2016,9
2016010110,24843,1/1/2016,10
2016010111,24339,1/1/2016,11
2016010112,24510,1/1/2016,12
2016010113,24843,1/1/2016,13
2016010114,25166,1/1/2016,14
2016010115,24730,1/1/2016,15
2016010116,24516,1/1/2016,16
2016010117,25024,1/1/2016,17
2016010118,26200,1/1/2016,18
2016010119,27388,1/1/2016,19
2016010120,28629,1/1/2016,20
2016010121,30000,1/1/2016,21
2016010122,31203,1/1/2016,22
2016010123,32397,1/1/2016,23
2016010124,33446,1/1/2016,24
2016010125,34312,1/1/2016,25
2016010126,34850,1/1/2016,26
2016010127,34787,1/1/2016,27
2016010128,34677,1/1/2016,28
2016010129,34555,1/1/2016,29
2016010130,34720,1/1/2016,30
2016010131,35226,1/1/2016,31
2016010132,36081,1/1/2016,32
2016010133,37848,1/1/2016,33
2016010134,39495,1/1/2016,34
2016010135,40343,1/1/2016,35
2016010136,39987,1/1/2016,36
2016010137,38907,1/1/2016,37
2016010138,37757,1/1/2016,38
2016010139,36493,1/1/2016,39
2016010140,35412,1/1/2016,40
2016010141,34230,1/1/2016,41
2016010142,32757,1/1/2016,42
2016010143,31405,1/1/2016,43
2016010144,30201,1/1/2016,44
2016010145,29165,1/1/2016,45
2016010146,28203,1/1/2016,46
2016010147,26478,1/1/2016,47
2016010148,24907,1/1/2016,48
2016010201,24655,1/2/2016,1
2016010202,24790,1/2/2016,2
2016010203,25304,1/2/2016,3
2016010204,24913,1/2/2016,4
2016010205,24466,1/2/2016,5
2016010206,24665,1/2/2016,6
2016010207,24405,1/2/2016,7
2016010208,23789,1/2/2016,8
2016010209,23444,1/2/2016,9
2016010210,23156,1/2/2016,10
2016010211,23554,1/2/2016,11
2016010212,23979,1/2/2016,12
2016010213,23973,1/2/2016,13
2016010214,24884,1/2/2016,14
2016010215,26134,1/2/2016,15
2016010216,27382,1/2/2016,16
2016010217,29392,1/2/2016,17
2016010218,31423,1/2/2016,18
2016010219,33053,1/2/2016,19
2016010220,34214,1/2/2016,20
2016010221,35060,1/2/2016,21
2016010222,35739,1/2/2016,22
2016010223,36310,1/2/2016,23
2016010224,36700,1/2/2016,24
2016010225,37008,1/2/2016,25
2016010226,37028,1/2/2016,26
2016010227,37184,1/2/2016,27
2016010228,37131,1/2/2016,28
2016010229,36983,1/2/2016,29
2016010230,37035,1/2/2016,30
2016010231,37229,1/2/2016,31
2016010232,37873,1/2/2016,32
2016010233,39740,1/2/2016,33
2016010234,42138,1/2/2016,34
2016010235,43706,1/2/2016,35
2016010236,44043,1/2/2016,36
2016010237,43454,1/2/2016,37
2016010238,42223,1/2/2016,38
2016010239,40969,1/2/2016,39
2016010240,39292,1/2/2016,40
2016010241,37931,1/2/2016,41
2016010242,36635,1/2/2016,42
2016010243,35228,1/2/2016,43
2016010244,33806,1/2/2016,44
2016010245,32434,1/2/2016,45
2016010246,31167,1/2/2016,46
2016010247,30285,1/2/2016,47
2016010248,29300,1/2/2016,48
2016010301,29521,1/3/2016,1
2016010302,29594,1/3/2016,2
2016010303,28854,1/3/2016,3
2016010304,27847,1/3/2016,4
2016010305,26939,1/3/2016,5
2016010306,26684,1/3/2016,6
2016010307,26014,1/3/2016,7
2016010308,25233,1/3/2016,8
2016010309,24698,1/3/2016,9
2016010310,24319,1/3/2016,10
2016010311,23129,1/3/2016,11
2016010312,23641,1/3/2016,12
2016010313,24672,1/3/2016,13
2016010314,25022,1/3/2016,14
2016010315,25362,1/3/2016,15
2016010316,25669,1/3/2016,16
2016010317,26823,1/3/2016,17
2016010318,28600,1/3/2016,18
2016010319,30604,1/3/2016,19
2016010320,32207,1/3/2016,20
2016010321,33900,1/3/2016,21
2016010322,34501,1/3/2016,22
2016010323,35050,1/3/2016,23
2016010324,35491,1/3/2016,24
2016010325,35935,1/3/2016,25
2016010326,36000,1/3/2016,26
2016010327,36400,1/3/2016,27
2016010328,36438,1/3/2016,28
2016010329,37029,1/3/2016,29
2016010330,36998,1/3/2016,30
2016010331,37365,1/3/2016,31
2016010332,38296,1/3/2016,32
2016010333,40155,1/3/2016,33
2016010334,41889,1/3/2016,34
2016010335,42862,1/3/2016,35
2016010336,42706,1/3/2016,36
2016010337,42183,1/3/2016,37
2016010338,40941,1/3/2016,38
2016010339,39656,1/3/2016,39
2016010340,38311,1/3/2016,40
2016010341,37615,1/3/2016,41
2016010342,36004,1/3/2016,42
2016010343,34631,1/3/2016,43
2016010344,33400,1/3/2016,44
2016010345,32225,1/3/2016,45
2016010346,30783,1/3/2016,46
2016010347,28826,1/3/2016,47
2016010348,27800,1/3/2016,48
2016010401,26562,1/4/2016,1
2016010402,26899,1/4/2016,2
2016010403,27323,1/4/2016,3
2016010404,27261,1/4/2016,4
2016010405,27195,1/4/2016,5
2016010406,27095,1/4/2016,6
2016010407,26717,1/4/2016,7
2016010408,26358,1/4/2016,8
2016010409,25976,1/4/2016,9
2016010410,25919,1/4/2016,10
2016010411,26551,1/4/2016,11
2016010412,26927,1/4/2016,12
2016010413,28946,1/4/2016,13
2016010414,32003,1/4/2016,14
2016010415,35728,1/4/2016,15
2016010416,38329,1/4/2016,16
2016010417,39985,1/4/2016,17
2016010418,40894,1/4/2016,18
2016010419,42152,1/4/2016,19
2016010420,42093,1/4/2016,20
2016010421,42820,1/4/2016,21
2016010422,43117,1/4/2016,22
2016010423,42467,1/4/2016,23
2016010424,42753,1/4/2016,24
2016010425,43129,1/4/2016,25
2016010426,42711,1/4/2016,26
2016010427,42680,1/4/2016,27
2016010428,42552,1/4/2016,28
2016010429,42850,1/4/2016,29
2016010430,43049,1/4/2016,30
2016010431,43262,1/4/2016,31
2016010432,44276,1/4/2016,32
2016010433,45982,1/4/2016,33
2016010434,47511,1/4/2016,34
2016010435,48891,1/4/2016,35
2016010436,47590,1/4/2016,36
2016010437,47502,1/4/2016,37
2016010438,47343,1/4/2016,38
2016010439,46502,1/4/2016,39
2016010440,44639,1/4/2016,40
2016010441,43195,1/4/2016,41
2016010442,41397,1/4/2016,42
2016010443,39294,1/4/2016,43
2016010444,36851,1/4/2016,44
2016010445,34636,1/4/2016,45
2016010446,32404,1/4/2016,46
2016010447,30006,1/4/2016,47
2016010448,28796,1/4/2016,48
2016010501,28630,1/5/2016,1
2016010502,28792,1/5/2016,2
2016010503,29321,1/5/2016,3
2016010504,29002,1/5/2016,4
2016010505,28897,1/5/2016,5
2016010506,28740,1/5/2016,6
2016010507,28334,1/5/2016,7
2016010508,27857,1/5/2016,8
2016010509,27398,1/5/2016,9
2016010510,27285,1/5/2016,10
2016010511,27555,1/5/2016,11
2016010512,28095,1/5/2016,12
2016010513,30203,1/5/2016,13
2016010514,33593,1/5/2016,14
2016010515,37539,1/5/2016,15
2016010516,40144,1/5/2016,16
2016010517,41543,1/5/2016,17
2016010518,41513,1/5/2016,18
2016010519,42324,1/5/2016,19
2016010520,42578,1/5/2016,20
2016010521,42601,1/5/2016,21
2016010522,42893,1/5/2016,22
2016010523,42883,1/5/2016,23
2016010524,42844,1/5/2016,24
2016010525,42891,1/5/2016,25
2016010526,42665,1/5/2016,26
2016010527,42641,1/5/2016,27
2016010528,42760,1/5/2016,28
2016010529,42719,1/5/2016,29
2016010530,42676,1/5/2016,30
2016010531,42723,1/5/2016,31
2016010532,43524,1/5/2016,32
2016010533,45391,1/5/2016,33
2016010534,47855,1/5/2016,34
2016010535,49021,1/5/2016,35
