,ITSDO,settlementDate,settlementPeriod
2016010101,28326,2016-01-01,1
2016010102,28934,2016-01-01,2
2016010103,28971,2016-01-01,3
2016010104,28213,2016-01-01,4
2016010105,27231,2016-01-01,5
2016010106,26642,2016-01-01,6
2016010107,26702,2016-01-01,7
2016010108,26343,2016-01-01,8
2016010109,25909,2016-01-01,9
2016010110,25440,2016-01-01,10
2016010111,25067,2016-01-01,11
2016010112,25191,2016-01-01,12
2016010113,25535,2016-01-01,13
2016010114,25656,2016-01-01,14
2016010115,25257,2016-01-01,15
2016010116,25070,2016-01-01,16
2016010117,25389,2016-01-01,17
2016010118,26258,2016-01-01,18
2016010119,27651,2016-01-01,19
2016010120,28700,2016-01-01,20
2016010121,29864,2016-01-01,21
2016010122,30890,2016-01-01,22
2016010123,31813,2016-01-01,23
2016010124,32609,2016-01-01,24
2016010125,33461,2016-01-01,25
2016010126,33894,2016-01-01,26
2016010127,33963,2016-01-01,27
2016010128,33808,2016-01-01,28
2016010129,33837,2016-01-01,29
2016010130,33795,2016-01-01,30
2016010131,34168,2016-01-01,31
2016010132,34796,2016-01-01,32
2016010133,36574,2016-01-01,33
2016010134,37863,2016-01-01,34
2016010135,38272,2016-01-01,35
2016010136,38024,2016-01-01,36
2016010137,37346,2016-01-01,37
2016010138,36350,2016-01-01,38
2016010139,35339,2016-01-01,39
2016010140,34190,2016-01-01,40
2016010141,33193,2016-01-01,41
2016010142,32099,2016-01-01,42
2016010143,30901,2016-01-01,43
2016010144,29768,2016-01-01,44
2016010145,28311,2016-01-01,45
2016010146,27138,2016-01-01,46
2016010147,25681,2016-01-01,47
2016010148,24695,2016-01-01,48
2016010201,24416,2016-01-02,1
2016010202,24607,2016-01-02,2
2016010203,24929,2016-01-02,3
2016010204,24486,2016-01-02,4
2016010205,23988,2016-01-02,5
2016010206,23923,2016-01-02,6
2016010207,23877,2016-01-02,7
2016010208,23389,2016-01-02,8
2016010209,23126,2016-01-02,9
2016010210,23089,2016-01-02,10
2016010211,23267,2016-01-02,11
2016010212,23452,2016-01-02,12
2016010213,23438,2016-01-02,13
2016010214,23890,2016-01-02,14
2016010215,25249,2016-01-02,15
2016010216,25992,2016-01-02,16
2016010217,27433,2016-01-02,17
2016010218,28685,2016-01-02,18
2016010219,30462,2016-01-02,19
2016010220,31691,2016-01-02,20
2016010221,32774,2016-01-02,21
2016010222,33637,2016-01-02,22
2016010223,34355,2016-01-02,23
2016010224,34830,2016-01-02,24
2016010225,35429,2016-01-02,25
2016010226,35477,2016-01-02,26
2016010227,35417,2016-01-02,27
2016010228,35258,2016-01-02,28
2016010229,35275,2016-01-02,29
2016010230,35279,2016-01-02,30
2016010231,35648,2016-01-02,31
2016010232,36517,2016-01-02,32
2016010233,38386,2016-01-02,33
2016010234,40318,2016-01-02,34
2016010235,41752,2016-01-02,35
2016010236,41958,2016-01-02,36
2016010237,41528,2016-01-02,37
2016010238,40594,2016-01-02,38
2016010239,39349,2016-01-02,39
2016010240,37762,2016-01-02,40
2016010241,36520,2016-01-02,41
2016010242,35158,2016-01-02,42
2016010243,34135,2016-01-02,43
2016010244,32723,2016-01-02,44
2016010245,31425,2016-01-02,45
2016010246,30211,2016-01-02,46
2016010247,28543,2016-01-02,47
2016010248,27502,2016-01-02,48
2016010301,26970,2016-01-03,1
2016010302,26915,2016-01-03,2
2016010303,27023,2016-01-03,3
2016010304,26370,2016-01-03,4
2016010305,26004,2016-01-03,5
2016010306,25602,2016-01-03,6
2016010307,25018,2016-01-03,7
2016010308,24600,2016-01-03,8
2016010309,24142,2016-01-03,9
2016010310,23725,2016-01-03,10
2016010311,23867,2016-01-03,11
2016010312,23996,2016-01-03,12
2016010313,24846,2016-01-03,13
2016010314,25069,2016-01-03,14
2016010315,25095,2016-01-03,15
2016010316,25012,2016-01-03,16
2016010317,25937,2016-01-03,17
2016010318,27107,2016-01-03,18
2016010319,28975,2016-01-03,19
2016010320,30600,2016-01-03,20
2016010321,32399,2016-01-03,21
2016010322,33674,2016-01-03,22
2016010323,34582,2016-01-03,23
2016010324,35416,2016-01-03,24
2016010325,36150,2016-01-03,25
2016010326,36635,2016-01-03,26
2016010327,36787,2016-01-03,27
2016010328,36704,2016-01-03,28
2016010329,36784,2016-01-03,29
2016010330,36675,2016-01-03,30
2016010331,37045,2016-01-03,31
2016010332,37876,2016-01-03,32
2016010333,39616,2016-01-03,33
