,drm2HourForecast,lolp1HourForecast,settlementDate,settlementPeriod
2016010101,21738.4550000,0.000000000,2016-01-01,1
2016010102,22010.7750000,0.000000000,2016-01-01,2
2016010103,21193.7200000,0.000000000,2016-01-01,3
2016010104,21154.9590000,0.000000000,2016-01-01,4
2016010105,20805.7620000,0.000000000,2016-01-01,5
2016010106,21116.7700000,0.000000000,2016-01-01,6
2016010107,20731.7730000,0.000000000,2016-01-01,7
2016010108,21611.4600000,0.000000000,2016-01-01,8
2016010109,21938.0860000,0.000000000,2016-01-01,9
2016010110,22780.3300000,0.000000000,2016-01-01,10
2016010111,22209.5620000,0.000000000,2016-01-01,11
2016010112,22408.3550000,0.000000000,2016-01-01,12
2016010113,21709.6720000,0.000000000,2016-01-01,13
2016010114,21254.5880000,0.000000000,2016-01-01,14
2016010115,20631.4730000,0.000000000,2016-01-01,15
2016010116,20274.8770000,0.000000000,2016-01-01,16
2016010117,21018.2540000,0.000000000,2016-01-01,17
2016010118,19627.8980000,0.000000000,2016-01-01,18
2016010119,19605.1150000,0.000000000,2016-01-01,19
2016010120,18914.7200000,0.000000000,2016-01-01,20
2016010121,18513.3300000,0.000000000,2016-01-01,21
2016010122,17421.6970000,0.000000000,2016-01-01,22
2016010123,16281.0990000,0.000000000,2016-01-01,23
2016010124,14402.3800000,0.000000000,2016-01-01,24
2016010125,14564.6090000,0.000000000,2016-01-01,25
2016010126,14006.7160000,0.000000000,2016-01-01,26
2016010127,13491.6290000,0.000000000,2016-01-01,27
2016010128,12614.7900000,0.000000000,2016-01-01,28
2016010129,12843.2380000,0.000000000,2016-01-01,29
2016010130,12334.6040000,0.000000000,2016-01-01,30
2016010131,12738.7295000,0.000000000,2016-01-01,31
2016010132,13024.3390000,0.000000000,2016-01-01,32
2016010133,13188.5120000,0.000000000,2016-01-01,33
2016010134,11413.5070000,0.000000000,2016-01-01,34
2016010135,10019.7100000,0.000000000,2016-01-01,35
2016010136,8742.7040000,0.000000000,2016-01-01,36
2016010137,8938.0320000,0.000000000,2016-01-01,37
2016010138,9935.4990000,0.000000000,2016-01-01,38
2016010139,10930.0440000,0.000000000,2016-01-01,39
2016010140,11334.9160000,0.000000000,2016-01-01,40
2016010141,12483.4020000,0.000000000,2016-01-01,41
2016010142,13357.5570000,0.000000000,2016-01-01,42
2016010143,14375.3000000,0.000000000,2016-01-01,43
