,APXPrice,APXVolume,N2EXPrice,N2EXVolume,settlementDate,settlementPeriod
2016010101,30.86,403.500,0.00,0.000,2016-01-01,1
2016010102,32.71,411.450,0.00,0.000,2016-01-01,2
2016010103,35.56,585.700,0.00,0.000,2016-01-01,3
2016010104,36.08,508.500,0.00,0.000,2016-01-01,4
2016010105,36.22,516.500,0.00,0.000,2016-01-01,5
2016010106,35.46,505.800,0.00,0.000,2016-01-01,6
2016010107,33.04,360.250,0.00,0.000,2016-01-01,7
2016010108,33.26,363.700,0.00,0.000,2016-01-01,8
2016010109,32.45,292.500,0.00,0.000,2016-01-01,9
2016010110,34.83,341.800,0.00,0.000,2016-01-01,10
2016010111,33.08,335.150,0.00,0.000,2016-01-01,11
2016010112,37.57,542.800,0.00,0.000,2016-01-01,12
2016010113,34.02,574.500,0.00,0.000,2016-01-01,13
2016010114,33.10,478.550,0.00,0.000,2016-01-01,14
2016010115,31.11,992.250,0.00,0.000,2016-01-01,15
2016010116,30.67,830.600,0.00,0.000,2016-01-01,16
2016010117,25.15,1022.350,0.00,0.000,2016-01-01,17
2016010118,25.64,943.700,0.00,0.000,2016-01-01,18
2016010119,27.55,898.100,0.00,0.000,2016-01-01,19
2016010120,27.57,941.200,0.00,0.000,2016-01-01,20
2016010121,28.46,986.100,0.00,0.000,2016-01-01,21
2016010122,29.14,731.850,0.00,0.000,2016-01-01,22
2016010123,35.85,406.450,0.00,0.000,2016-01-01,23
2016010124,35.71,506.150,0.00,0.000,2016-01-01,24
2016010125,38.75,588.750,0.00,0.000,2016-01-01,25
2016010126,38.84,661.850,0.00,0.000,2016-01-01,26
2016010127,39.74,797.850,0.00,0.000,2016-01-01,27
2016010128,39.82,889.650,0.00,0.000,2016-01-01,28
2016010129,38.74,893.800,0.00,0.000,2016-01-01,29
2016010130,38.60,961.300,0.00,0.000,2016-01-01,30
2016010131,43.80,856.350,0.00,0.000,2016-01-01,31
2016010132,43.19,960.050,0.00,0.000,2016-01-01,32
2016010133,44.32,823.800,0.00,0.000,2016-01-01,33
2016010134,46.34,793.600,0.00,0.000,2016-01-01,34
2016010135,50.30,716.600,0.00,0.000,2016-01-01,35
2016010136,44.95,883.400,0.00,0.000,2016-01-01,36
2016010137,41.70,1009.900,0.00,0.000,2016-01-01,37
