,initialWindForecast,latestWindForecast,settlementDate,settlementPeriod,windOutturn
2016010101,5754,5925,2016-01-01,1,4675
2016010102,NULL,NULL,2016-01-01,2,4334
2016010103,5286,5234,2016-01-01,3,3994
2016010104,NULL,NULL,2016-01-01,4,3615
2016010105,4775,4436,2016-01-01,5,3031
2016010106,NULL,NULL,2016-01-01,6,2585
2016010107,4249,3684,2016-01-01,7,2361
2016010108,NULL,NULL,2016-01-01,8,2210
2016010109,3849,3033,2016-01-01,9,2067
2016010110,NULL,NULL,2016-01-01,10,1967
2016010111,3464,2584,2016-01-01,11,1852
2016010112,NULL,NULL,2016-01-01,12,1861
2016010113,3107,2215,2016-01-01,13,2081
2016010114,NULL,NULL,2016-01-01,14,2151
2016010115,3125,2336,2016-01-01,15,2182
2016010116,NULL,NULL,2016-01-01,16,2287
2016010117,3214,2622,2016-01-01,17,2409
2016010118,NULL,NULL,2016-01-01,18,2528
2016010119,3300,2955,2016-01-01,19,2609
2016010120,NULL,NULL,2016-01-01,20,2830
2016010121,3688,3415,2016-01-01,21,2938
2016010122,NULL,NULL,2016-01-01,22,3157
2016010123,4079,3997,2016-01-01,23,3372
2016010124,NULL,NULL,2016-01-01,24,3574
2016010125,4466,4550,2016-01-01,25,3508
2016010126,NULL,NULL,2016-01-01,26,3621
2016010127,4987,5197,2016-01-01,27,3981
2016010128,NULL,NULL,2016-01-01,28,4333
2016010129,5485,5792,2016-01-01,29,4524
2016010130,NULL,NULL,2016-01-01,30,4700
2016010131,5926,6405,2016-01-01,31,4866
2016010132,NULL,NULL,2016-01-01,32,5047
2016010133,6278,6712,2016-01-01,33,5259
2016010134,NULL,NULL,2016-01-01,34,5543
2016010135,6574,6958,2016-01-01,35,5585
2016010136,NULL,NULL,2016-01-01,36,5501
2016010137,6806,7116,2016-01-01,37,5468
2016010138,NULL,NULL,2016-01-01,38,5356
2016010139,6905,7189,2016-01-01,39,5355
2016010140,NULL,NULL,2016-01-01,40,5168
2016010141,6997,7212,2016-01-01,41,5027
2016010142,NULL,NULL,2016-01-01,42,4915
2016010143,7069,7237,2016-01-01,43,4782
2016010144,NULL,NULL,2016-01-01,44,4877
2016010145,7220,7196,2016-01-01,45,4688
2016010146,NULL,NULL,2016-01-01,46,4580
2016010147,7212,7155,2016-01-01,47,4577
2016010148,NULL,NULL,2016-01-01,48,4581
2016010201,7198,7117,2016-01-02,1,4603
2016010202,NULL,NULL,2016-01-02,2,4662
2016010203,7201,7126,2016-01-02,3,4718
2016010204,NULL,NULL,2016-01-02,4,4654
2016010205,7189,7124,2016-01-02,5,4557
2016010206,NULL,NULL,2016-01-02,6,4554
2016010207,7174,7144,2016-01-02,7,4747
2016010208,NULL,NULL,2016-01-02,8,5126
2016010209,7157,7114,2016-01-02,9,5189
2016010210,NULL,NULL,2016-01-02,10,5235
2016010211,7095,7088,2016-01-02,11,5142
2016010212,NULL,NULL,2016-01-02,12,5239
2016010213,7021,7049,2016-01-02,13,5239
2016010214,NULL,NULL,2016-01-02,14,5133
2016010215,6698,6965,2016-01-02,15,5071
2016010216,NULL,NULL,2016-01-02,16,4999
2016010217,6412,6846,2016-01-02,17,5009
2016010218,NULL,NULL,2016-01-02,18,4843
2016010219,6081,6701,2016-01-02,19,4689
2016010220,NULL,NULL,2016-01-02,20,4735
2016010221,5644,6510,2016-01-02,21,4804
2016010222,NULL,NULL,2016-01-02,22,4871
2016010223,5170,6334,2016-01-02,23,4867
2016010224,NULL,NULL,2016-01-02,24,4674
2016010225,4678,6105,2016-01-02,25,4461
2016010226,NULL,NULL,2016-01-02,26,4432
2016010227,4443,5946,2016-01-02,27,4196
2016010228,NULL,NULL,2016-01-02,28,4095
2016010229,4194,5746,2016-01-02,29,4053
2016010230,NULL,NULL,2016-01-02,30,3871
2016010231,3935,5542,2016-01-02,31,3777
2016010232,NULL,NULL,2016-01-02,32,3806
2016010233,3794,5149,2016-01-02,33,3874
2016010234,NULL,NULL,2016-01-02,34,3950
2016010235,3628,5040,2016-01-02,35,4024
2016010236,NULL,NULL,2016-01-02,36,4004
2016010237,3444,4917,2016-01-02,37,3940
2016010238,NULL,NULL,2016-01-02,38,3680
2016010239,3345,4889,2016-01-02,39,3726
2016010240,NULL,NULL,2016-01-02,40,3805
2016010241,3244,4895,2016-01-02,41,3830
2016010242,NULL,NULL,2016-01-02,42,3883
2016010243,3139,4786,2016-01-02,43,4000
2016010244,NULL,NULL,2016-01-02,44,4060
2016010245,4369,4709,2016-01-02,45,4196
2016010246,NULL,NULL,2016-01-02,46,4226
2016010247,4371,4716,2016-01-02,47,4212
2016010248,NULL,NULL,2016-01-02,48,4198
2016010301,4359,4807,2016-01-03,1,4216
2016010302,NULL,NULL,2016-01-03,2,4078
2016010303,4393,4838,2016-01-03,3,3763
2016010304,NULL,NULL,2016-01-03,4,3635
2016010305,4415,4975,2016-01-03,5,3593
2016010306,NULL,NULL,2016-01-03,6,3578
2016010307,4441,4925,2016-01-03,7,3877
2016010308,NULL,NULL,2016-01-03,8,4038
2016010309,4366,4760,2016-01-03,9,3949
2016010310,NULL,NULL,2016-01-03,10,3810
2016010311,4264,4597,2016-01-03,11,3797
2016010312,NULL,NULL,2016-01-03,12,3806
2016010313,4150,4543,2016-01-03,13,3643
2016010314,NULL,NULL,2016-01-03,14,3506
2016010315,4535,4861,2016-01-03,15,3734
2016010316,NULL,NULL,2016-01-03,16,3694
2016010317,5036,5365,2016-01-03,17,3501
2016010318,NULL,NULL,2016-01-03,18,3581
2016010319,5455,5992,2016-01-03,19,3790
2016010320,NULL,NULL,2016-01-03,20,3949
2016010321,6002,6290,2016-01-03,21,3976
2016010322,NULL,NULL,2016-01-03,22,4128
2016010323,6430,6601,2016-01-03,23,4445
2016010324,NULL,NULL,2016-01-03,24,4719
2016010325,6740,6817,2016-01-03,25,4894
2016010326,NULL,NULL,2016-01-03,26,4994
2016010327,6938,6981,2016-01-03,27,5132
2016010328,NULL,NULL,2016-01-03,28,5214
2016010329,7099,7004,2016-01-03,29,5086
2016010330,NULL,NULL,2016-01-03,30,5002
2016010331,7213,6933,2016-01-03,31,4994
2016010332,NULL,NULL,2016-01-03,32,4816
2016010333,7231,6731,2016-01-03,33,4702
2016010334,NULL,NULL,2016-01-03,34,4671
2016010335,7199,6499,2016-01-03,35,4769
2016010336,NULL,NULL,2016-01-03,36,4756
2016010337,7142,6220,2016-01-03,37,4800
2016010338,NULL,NULL,2016-01-03,38,4347
2016010339,7077,5934,2016-01-03,39,3976
2016010340,NULL,NULL,2016-01-03,40,3780
2016010341,6983,5535,2016-01-03,41,3616
2016010342,NULL,NULL,2016-01-03,42,3377
2016010343,6859,4851,2016-01-03,43,3145
2016010344,NULL,NULL,2016-01-03,44,2948
2016010345,4866,4480,2016-01-03,45,2816
2016010346,NULL,NULL,2016-01-03,46,2810
2016010347,4376,4116,2016-01-03,47,2716
2016010348,NULL,NULL,2016-01-03,48,2667
2016010401,3838,3874,2016-01-04,1,2633
2016010402,NULL,NULL,2016-01-04,2,2727
2016010403,3588,3827,2016-01-04,3,2726
2016010404,NULL,NULL,2016-01-04,4,2585
2016010405,3359,3866,2016-01-04,5,2670
2016010406,NULL,NULL,2016-01-04,6,2893
2016010407,3152,3955,2016-01-04,7,2828
2016010408,NULL,NULL,2016-01-04,8,2839
2016010409,3093,4068,2016-01-04,9,2966
2016010410,NULL,NULL,2016-01-04,10,2960
2016010411,3045,4192,2016-01-04,11,2940
2016010412,NULL,NULL,2016-01-04,12,2824
2016010413,2999,4261,2016-01-04,13,3003
2016010414,NULL,NULL,2016-01-04,14,2869
2016010415,2982,4392,2016-01-04,15,2848
2016010416,NULL,NULL,2016-01-04,16,2882
2016010417,3086,4512,2016-01-04,17,2916
2016010418,NULL,NULL,2016-01-04,18,2964
2016010419,3189,4656,2016-01-04,19,3123
2016010420,NULL,NULL,2016-01-04,20,3359
2016010421,3277,4742,2016-01-04,21,3444
2016010422,NULL,NULL,2016-01-04,22,3553
